ID,E,N,Z,Xa,Huyen,Tinh,QSH,QCN,QTM-DV,QRE1,Qi,KS,QSP,QT,fT,QAN,fAN,QAQ,fAQ,QRE2,QNN,QRE3,Qs,fs,Ws,Qg,fg,Wg,Qr,fr,Wr,Wru,WSCI1,WSCI2,WSC3
X837,103.999,10.1488,2,Dương Tơ,Phú Quốc,Kiên Giang,1902.000,380.000,285.000,2568.000,1027.000,1.120,1150.460,4483.507,0.005,159.502,1,2136.986,0.001,2752,6779.995,4027.995,6779995.151,0,678,5423.996,0.002,10.848,1369863.014,0.05,68493.151,69181.998,0.448,0.418,17.175
X838,106.379,10.2094,2,Phú Nhuận,Bến Tre,Bến Tre,680.000,136.000,102.000,918.000,970.000,1.120,1085.850,7571.135,0.005,113.8,1,422.701,0.001,1070,8107.636,7037.636,810763.562,0,81.076,648.611,0.002,1.297,1369863.014,0.05,68493.151,68575.524,1.183,1.015,9.744
X839,106.037,10.2058,2,Hòa Tịnh,Mang Thít,Vĩnh Long,753.000,38.000,113.000,904.000,755.000,1.120,845.870,63075.088,0.005,1004.151,1,5922.505,0.001,2229,70001.744,67772.744,70001744.42,0,7000.174,56001.396,0.002,112.003,1369863.014,0.05,68493.151,75605.328,0.936,0.379,1.116
X840,105.691,10.179,2,Phong Hòa,Lai Vung,Đồng Tháp,1903.000,95.000,285.000,2283.000,49.000,1.120,54.390,86083.201,0.005,370.65,1,4739.726,0.001,3089,91193.577,88104.577,91193576.94,0,9119.358,72954.862,0.002,145.91,1369863.014,0.05,68493.151,77758.418,0.024,0.018,0.883
X841,106.273,10.1975,2,Phước Mỹ Trung,Mỏ Cày,Bến Tre,784.000,39.000,118.000,941.000,686.000,1.120,768.300,23136.651,0.005,2507.17,1,7488.584,0.001,3571,33132.406,29561.406,3313240.629,0,331.324,2650.593,0.002,5.301,1369863.014,0.05,68493.151,68829.776,0.816,0.215,2.328
X842,105.173,10.1811,2,Tân Thành,Tân Hiệp,Kiên Giang,891.000,45.000,134.000,1069.000,13.000,1.120,14.430,146028.471,0.005,908.244,1,2202.74,0.001,2710,149139.455,146429.455,149139455,0,14913.945,119311.564,0.002,238.623,1369863.014,0.05,68493.151,83645.719,0.014,0.005,0.571
X843,106.152,10.0681,2,Trung Hiếu,Vũng Liêm,Vĩnh Long,980.000,49.000,147.000,1175.000,722.000,1.120,808.180,76447.808,0.005,963.372,1,7809.863,0.001,2528,85221.043,82693.043,85221042.78,0,8522.104,68176.834,0.002,136.354,1369863.014,0.05,68493.151,77151.609,0.688,0.32,0.933
X844,105.999,10.0536,2,Tường Lộc,Tam Bình,Vĩnh Long,980.000,49.000,147.000,1176.000,491.000,1.120,550.420,107508.721,0.005,587.459,1,13222.24,0.001,2314,121318.42,119004.42,121318420.2,0,12131.842,97054.736,0.002,194.109,1369863.014,0.05,68493.151,80819.102,0.468,0.238,0.679
X845,105.727,10.057,2,Long Hòa,Bình Thủy,Cần Thơ,3386.000,1016.000,508.000,4909.000,292.000,1.120,327.540,24115.982,0.005,214.597,1,4767.123,0.001,5249,29097.702,23848.702,29097702.02,0,2909.77,23278.162,0.002,46.556,1369863.014,0.05,68493.151,71449.477,0.067,0.062,2.996
X846,106.321,10.0433,2,Thành Thới A,Mỏ Cày,Bến Tre,997.000,50.000,150.000,1196.000,670.000,1.120,750.940,23136.651,0.005,2507.17,1,7488.584,0.001,3826,33132.406,29306.406,3313240.629,0,331.324,2650.593,0.002,5.301,1369863.014,0.05,68493.151,68829.776,0.628,0.196,2.349
X847,105.272,10.0278,2,Thạnh Đông A,Tân Hiệp,Kiên Giang,1634.000,82.000,245.000,1961.000,49.000,1.120,54.830,146028.471,0.005,908.244,1,2202.74,0.001,3602,149139.455,145537.455,149139455,0,14913.945,119311.564,0.002,238.623,1369863.014,0.05,68493.151,83645.719,0.028,0.015,0.575
X848,105.559,10.0639,2,Thới Lai,Cờ Đỏ,Cần Thơ,1421.000,426.000,213.000,2060.000,368.000,1.120,412.000,169767.808,0.005,590.648,1,71084.149,0.001,3571,241442.605,237871.605,241442604.9,0,24144.26,193154.084,0.002,386.308,1369863.014,0.05,68493.151,93023.719,0.2,0.115,0.391
